GeneSym	EnsembleID	GO_anno
CD97	ENSP00000242786	extracellular region part
FLRT2	ENSP00000332879	extracellular region part
ICAM1	ENSP00000264832	extracellular region part
PTPRC	ENSP00000356346	extracellular region part
DDR2	ENSP00000356898	extracellular region part
PLAU	ENSP00000361850	extracellular region part
RRAS	ENSP00000246792	extracellular region part
PVRL2	ENSP00000252483	extracellular region part
ABHD6	ENSP00000295962	extracellular region part
OLFM3	ENSP00000359121	extracellular region part
ANO1	ENSP00000347454	extracellular region part
ANO6	ENSP00000391417	extracellular region part
TTYH3	ENSP00000258796	extracellular region part
CLIC6	ENSP00000290332	extracellular region part
CLIC3	ENSP00000360678	extracellular region part
PPP2R4	ENSP00000351885	extracellular region part
GABRB2	ENSP00000274547	extracellular region part
GRID1	ENSP00000385395	extracellular region part
KCNG2	ENSP00000315654	extracellular region part
SCNN1B	ENSP00000345751	extracellular region part
SCNN1G	ENSP00000300061	extracellular region part
SCN10A	ENSP00000390600	extracellular region part
SCN11A	ENSP00000307599	extracellular region part
LRRC26	ENSP00000360597	extracellular region part
ATP1A1	ENSP00000295598	extracellular region part
ATP1B1	ENSP00000356789	extracellular region part
ATP1B3	ENSP00000286371	extracellular region part
FXYD2	ENSP00000314528	extracellular region part
CDH15	ENSP00000289746	extracellular region part
SLC22A6	ENSP00000367102	extracellular region part
KCNMA1	ENSP00000286627	extracellular region part
A1BG	ENSP00000263100	extracellular region part
PZP	ENSP00000261336	extracellular region part
ACT	ENSP00000349391	extracellular region part
AGT	ENSP00000355627	extracellular region part
C1S	ENSP00000328173	extracellular region part
CPN2	ENSP00000319464	extracellular region part
IGHG1	ENSP00000374990	extracellular region part
IGHG2	ENSP00000374987	extracellular region part
IGHG3	ENSP00000374992	extracellular region part
C1R	ENSP00000290575	extracellular region part
AFM	ENSP00000226355	extracellular region part
ITIH1	ENSP00000273283	extracellular region part
ORM1	ENSP00000259396	extracellular region part
ORM2	ENSP00000394936	extracellular region part
IGHG4	ENSP00000374985	extracellular region part
ITIH2	ENSP00000351190	extracellular region part
CFHR1	ENSP00000314299	extracellular region part
CFHR3	ENSP00000356395	extracellular region part
CFH	ENSP00000356399	extracellular region part
AHSG	ENSP00000393887	extracellular region part
PRSS1	ENSP00000308720	extracellular region part
A2ML1	ENSP00000299698	extracellular region part
AMY1A	ENSP00000359100	extracellular region part
AMY1B	ENSP00000330484	extracellular region part
AMY1C	ENSP00000359096	extracellular region part
AMY2A	ENSP00000377509	extracellular region part
BMP3	ENSP00000282701	extracellular region part
WFDC2	ENSP00000361761	extracellular region part
ZG16B	ENSP00000371715	extracellular region part
